# E절 계량표 (탭 구분). repo=StickRushGame  commit=c0a610f  Unity=6000.0.71f1
# 측정방법 열: syntax=Roslyn 구문수준(의미해석없음) / semantic=Roslyn 의미수준 mode=C / git=git ls-files
항목	전체	서드파티제외(사용자코드)	측정방법
.cs 파일	1713	114	git
.cs 파일 (Assembly-CSharp.csproj 기준 probe 대상)	-	112	git+csproj
타입 선언	2755	231	syntax
타입 (named type, 중첩 포함)	미측정	214	semantic
base-list 항목 (상속+실현 후보)	1644	142	syntax
필드 선언	11722	285	syntax
간선 inheritance	미측정	64	semantic
간선 realization	미측정	70	semantic
간선 association (필드 타입)	미측정	285	semantic
간선 composition	미측정	0	semantic
간선 aggregation	미측정	0	semantic
간선 dependency	미측정	0	semantic
enum 멤버 (association 에서 제외한 것)	미측정	209	semantic
.asmdef	20	1	git
.asmdef 가 덮는 사용자 .cs	-	2	git
.csproj (작업트리, 비추적)	135	2	ls
네임스페이스 (선언 기준)	미측정	7	grep
폴더 경계 (@Scripts 2단계)	-	9	git
.unity 씬	66	미측정	git
.prefab	266	20	git
.asset	213	미측정	git
.prefab 중 사용자 스크립트 GUID 참조	16	16	python3
.unity 중 사용자 스크립트 GUID 참조	6	6	python3
UnityEvent m_MethodName (YAML 호출 간선)	472	22	python3
UnityEvent m_MethodName 중 메서드명이 실제로 든 것	471	22	python3
MonoBehaviour 파생 타입	미측정	45	semantic
ScriptableObject 파생 타입	미측정	6	semantic
MonoBehaviour 생명주기 메서드 선언	미측정	38	semantic
[SerializeField] 필드	미측정	27	semantic
GetComponent< 출현	미측정	39	grep
Addressables. 출현	미측정	17	grep
Resources.Load 출현	미측정	0	grep
SendMessage 출현	미측정	0	grep
패키지 (packages-lock.json 노드)	85	0	json
패키지 간 의존 간선	135	0	json
  그중 depth 0 (manifest 직접)	57	0	json
PackageCache 어셈블리 -> 패키지 축약	259 -> 46	해당없음	json+asmdef
.slnx 밖 csproj -> 패키지 축약	112 -> 41	해당없음	json+asmdef
외부 노드 (C-9 적용 후)	12	해당없음	semantic+json
  접기 전: 사용자 코드가 닿는 어셈블리	13	해당없음	semantic
  참조로 넘긴 DLL	395	해당없음	csproj
R5 적용 후 외부 접촉 (netstandard)	274	해당없음	semantic
  암묵적 기반 제외 시	145	해당없음	semantic
  원시 타입까지 제외 시	9	해당없음	semantic
호출식 (사용자 코드)	미측정	1295	semantic
  심볼 해석 성공	미측정	1288	semantic
서로 다른 (수신타입.메서드)	미측정	507	semantic
UnityEvent.AddListener	미측정	19	semantic
MonoBehaviour.Invoke(문자열)	미측정	4	semantic
그 외 .Invoke() (델리게이트/UnityEvent)	미측정	43	semantic
R7 적용 후 netstandard 접촉	9	해당없음	semantic
외부 노드 접촉 합 (R5+R7 후)	81	해당없음	semantic
